id1;id2;dist;edge_id
27560594;27560776;33;39657402
27560601;27560378;51;37852084
27560601;27560572;6;37852070
27560601;27560792;41;37852069
27560603;27559947;135;38229565
27560603;27560645;83;37515763
27560613;27560485;23;37692126
27560613;27560488;22;37510549
27560613;27560594;16;39657394
27560644;27560550;160;38854227
27560644;27560657;28;37804025
27560645;27560680;69;39558896
27560646;27560644;6;39558888
27560646;27560958;149;38880777
27560649;27560334;73;38126205
27560657;27560583;151;37804024
27560657;27560763;19;38880693
27560665;27560391;78;37852082
27560665;27560523;141;37852090
27560665;27560754;42;37852079
27560670;27560688;55;38126219
27560675;27560613;9;37510548
27560679;27560646;57;39558887
27560680;27560148;102;37591937
27560680;27560717;93;39558895
27560682;27560556;39;38553701
27560682;27560565;20;39558906
27560687;27561163;77;39558903
27560688;27560513;32;38126203
27560688;27560670;55;38126218
27560688;27560859;31;38126200
27560694;27560542;105;37545328
27560694;27560756;45;37545325
27560708;27560333;72;38126246
27560708;27560734;18;39754664
27560708;27561303;233;38126245
27560710;27560437;126;37692129
27560710;27560771;74;37692128
27560710;27561174;379;37692132
27560717;27560799;258;37750845
27560717;27560851;236;38854228
27560718;27560407;61;38216661
27560718;27560744;13;38881726
27560718;27560940;38;38216658
27560724;27560767;45;38880720
27560730;27560763;70;38880718
27560730;27560918;32;39636864
27560733;27560735;48;37852146
27560734;27560708;18;39754665
27560734;27560768;82;38874926
27560734;27560768;38;39754662
27560735;27560733;37;37852147
27560735;27561174;136;37692138
27560744;27560718;13;38881725
27560744;27560773;15;38881724
27560745;27560846;17;38880917
27560751;27560679;164;38854226
27560751;27561247;73;38405343
27560754;27560416;96;37852080
27560754;27560665;42;37852078
27560754;27560837;38;37852077
27560756;27560694;45;37545326
27560756;27560808;37;37545323
27560758;27560863;57;38880919
27560763;27560657;19;38880692
27560763;27560730;70;38880719
27560763;27560770;20;38880716
27560763;27560868;19;38880691
27560763;27560918;76;39636858
27560767;27560724;45;38880721
27560768;27560459;55;38874928
27560768;27560734;38;39754663
27560768;27560734;82;38874927
27560770;27560763;20;38880717
27560770;27560878;19;39636855
27560771;27560710;74;37692127
27560771;27560776;24;39300465
27560771;27560942;35;37852094
27560773;27560744;15;38881723
27560773;27560789;289;37802410
27560776;27560594;33;39657401
27560776;27560675;35;39300464
27560779;27560846;65;38880913
27560786;27560751;93;38854225
27560789;27560346;313;37604939
27560789;27560773;289;37802409
27560789;27561099;46;37604936
27560792;27560348;103;37692136
27560792;27560601;41;37852068
27560792;27561174;132;37692133
27560799;27560182;116;39601479
27560799;27560806;8;39558894
27560806;27560864;10;38124569
27560806;27560941;159;39558893
27560808;27560756;37;37545324
27560808;27561108;148;37545321
27560808;27561287;69;38126198
27560823;27561449;86;37750817
27560824;27560849;20;37498760
27560824;27560999;29;38230256
27560837;27560572;75;37852074
27560837;27560754;38;37852076
27560846;27560745;17;38880916
27560846;27560779;65;38880912
27560846;27560912;11;38880915
27560849;27563646;1149;38230358
27560850;27561064;83;38854230
27560850;27561769;131;38880908
27560851;27560873;59;37515765
27560859;27560688;31;38126201
27560863;27560758;57;38880918
27560863;27560912;154;38405324
27560863;27561157;49;38405321
27560864;27560909;7;38124568
27560868;27560763;19;38880690
27560868;27560878;19;39636860
27560868;27561016;69;39636853
27560873;27560941;129;37515766
27560878;27560770;19;39636856
27560878;27560868;19;39636859
27560894;27560786;234;37515769
27560902;27560291;110;38405341
27560909;27560946;7;38124567
27560912;27560846;11;38880914
27560912;27560863;154;38405323
27560912;27561453;139;38405318
27560918;27560730;32;39636863
27560918;27560763;76;39636857
27560918;27561016;16;39636862
27560920;27560786;205;39558897
27560925;27561091;33;38750951
27560928;27560675;43;37510547
27560928;27560771;56;39300463
27560929;27560894;62;37515770
27560940;27560718;38;38216659
27560940;27561329;53;38881722
27560941;27561018;131;38854223
27560942;27560771;35;37852095
27560945;27560799;24;39601478
